COUNTRY,COUNTRY_GRP,SEX,YEAR,VALUE
BLR,,ALL,2020,6555.43
BLR,,ALL,2021,7303.7
,CARINFONET,ALL,1990,976.52
,CARINFONET,ALL,1991,901.48
,CARINFONET,ALL,1992,884.04
,CARINFONET,ALL,1993,836.05
,CARINFONET,ALL,1994,764.41
,CARINFONET,ALL,1995,743.63
,CARINFONET,ALL,1996,755.91
,CARINFONET,ALL,1997,785.11
,CARINFONET,ALL,1998,786.83
,CARINFONET,ALL,1999,709.38
,CARINFONET,ALL,2000,674.35
,CARINFONET,ALL,2001,713.81
,CARINFONET,ALL,2002,742.25
,CARINFONET,ALL,2003,890.36
,CARINFONET,ALL,2004,1157.47
,CARINFONET,ALL,2005,1451.8
,CARINFONET,ALL,2006,1955.57
,CARINFONET,ALL,2007,2473.7
,CARINFONET,ALL,2008,3171.65
,CARINFONET,ALL,2009,2890.28
,CARINFONET,ALL,2010,3667.05
,CARINFONET,ALL,2011,4582.22
,CARINFONET,ALL,2012,4970.34
,CARINFONET,ALL,2013,5484.89
,CARINFONET,ALL,2014,5413.32
,CARINFONET,ALL,2015,4702.9
,CARINFONET,ALL,2016,3928.29
,CARINFONET,ALL,2017,3951.57
,CARINFONET,ALL,2018,3982.91
,CARINFONET,ALL,2019,4121.74
,CARINFONET,ALL,2020,3908.11
CHE,,ALL,1980,19410.19
CHE,,ALL,1981,17679.87
CHE,,ALL,1982,18015.11
CHE,,ALL,1983,17874.25
CHE,,ALL,1984,17005.53
CHE,,ALL,1985,17166.52
CHE,,ALL,1986,24480.42
CHE,,ALL,1987,30466.11
CHE,,ALL,1988,32717.92
CHE,,ALL,1989,31334.98
CHE,,ALL,1990,39607.82
CHE,,ALL,1991,39577.75
CHE,,ALL,1992,40747.93
CHE,,ALL,1993,39270.11
CHE,,ALL,1994,43128.01
CHE,,ALL,1995,50155.97
CHE,,ALL,1996,48144.58
CHE,,ALL,1997,41631.44
CHE,,ALL,1998,42740.13
CHE,,ALL,1999,41786.23
CHE,,ALL,2000,38952.03
CHE,,ALL,2001,39727.85
CHE,,ALL,2002,42578.76
CHE,,ALL,2003,49470.4
CHE,,ALL,2004,54878.47
CHE,,ALL,2005,56546.79
CHE,,ALL,2006,59300.62
CHE,,ALL,2007,65359.52
CHE,,ALL,2008,74572.23
CHE,,ALL,2009,72083.17
CHE,,ALL,2010,77117.13
CHE,,ALL,2011,91254.03
CHE,,ALL,2012,86547.67
CHE,,ALL,2013,88109.49
CHE,,ALL,2014,89684.71
CHE,,ALL,2015,84776.14
CHE,,ALL,2016,83073.28
CHE,,ALL,2017,83352.09
CHE,,ALL,2018,86388.4
CHE,,ALL,2019,85334.52
CHE,,ALL,2020,87100.41
CHE,,ALL,2021,93457.44
,CIS,ALL,1990,2480.59
,CIS,ALL,1991,2430.88
,CIS,ALL,1992,2159.87
,CIS,ALL,1993,2026.19
,CIS,ALL,1994,1817.44
,CIS,ALL,1995,1802.5
,CIS,ALL,1996,1788.25
,CIS,ALL,1997,1868.31
