COUNTRY,COUNTRY_GRP,SEX,YEAR,VALUE
,EU_AFTER_MAY2004,ALL,2002,554.57
,EU_AFTER_MAY2004,ALL,2003,613.25
,EU_AFTER_MAY2004,ALL,2004,636.64
,EU_AFTER_MAY2004,ALL,2005,693.86
,EU_AFTER_MAY2004,ALL,2006,752.97
,EU_AFTER_MAY2004,ALL,2007,834.24
,EU_AFTER_MAY2004,ALL,2008,954.41
,EU_AFTER_MAY2004,ALL,2009,1014.33
,EU_AFTER_MAY2004,ALL,2010,1048.75
,EU_AFTER_MAY2004,ALL,2011,1075.81
,EU_AFTER_MAY2004,ALL,2012,1095.02
,EU_AFTER_MAY2004,ALL,2013,1123.52
,EU_AFTER_MAY2004,ALL,2014,1169.55
,EU_BEFORE_MAY2004,ALL,1995,1351.68
,EU_BEFORE_MAY2004,ALL,1996,1415.28
,EU_BEFORE_MAY2004,ALL,1997,1445.79
,EU_BEFORE_MAY2004,ALL,1998,1499.43
,EU_BEFORE_MAY2004,ALL,1999,1575.97
,EU_BEFORE_MAY2004,ALL,2000,1682.7
,EU_BEFORE_MAY2004,ALL,2001,1804.25
,EU_BEFORE_MAY2004,ALL,2002,1913.06
,EU_BEFORE_MAY2004,ALL,2003,1994.91
,EU_BEFORE_MAY2004,ALL,2004,2091.11
,EU_BEFORE_MAY2004,ALL,2005,2231.58
,EU_BEFORE_MAY2004,ALL,2006,2426.28
,EU_BEFORE_MAY2004,ALL,2007,2524.65
,EU_BEFORE_MAY2004,ALL,2008,2707.06
,EU_BEFORE_MAY2004,ALL,2009,2868.83
,EU_BEFORE_MAY2004,ALL,2010,2897.48
,EU_BEFORE_MAY2004,ALL,2011,2971.7
,EU_BEFORE_MAY2004,ALL,2012,2999.41
,EU_BEFORE_MAY2004,ALL,2013,3041.05
,EU_BEFORE_MAY2004,ALL,2014,3126.68
,EU_MEMBERS,ALL,1995,1119.49
,EU_MEMBERS,ALL,1996,1174.63
,EU_MEMBERS,ALL,1997,1205.78
,EU_MEMBERS,ALL,1998,1248.16
,EU_MEMBERS,ALL,1999,1309.74
,EU_MEMBERS,ALL,2000,1395.66
,EU_MEMBERS,ALL,2001,1496.48
,EU_MEMBERS,ALL,2002,1591.44
,EU_MEMBERS,ALL,2003,1664.9
,EU_MEMBERS,ALL,2004,1729.76
,EU_MEMBERS,ALL,2005,1850.95
,EU_MEMBERS,ALL,2006,2013.26
,EU_MEMBERS,ALL,2007,2118.3
,EU_MEMBERS,ALL,2008,2288.57
,EU_MEMBERS,ALL,2009,2420.18
,EU_MEMBERS,ALL,2010,2472.03
,EU_MEMBERS,ALL,2011,2549.99
,EU_MEMBERS,ALL,2012,2575.66
,EU_MEMBERS,ALL,2013,2609.02
,EU_MEMBERS,ALL,2014,2705.68
,EU_BEFORE_FEB2020,ALL,1995,1120.99
,EU_BEFORE_FEB2020,ALL,1996,1176.57
,EU_BEFORE_FEB2020,ALL,1997,1204.12
,EU_BEFORE_FEB2020,ALL,1998,1248.19
,EU_BEFORE_FEB2020,ALL,1999,1314.71
,EU_BEFORE_FEB2020,ALL,2000,1403.35
,EU_BEFORE_FEB2020,ALL,2001,1510.23
,EU_BEFORE_FEB2020,ALL,2002,1611.55
,EU_BEFORE_FEB2020,ALL,2003,1690.19
,EU_BEFORE_FEB2020,ALL,2004,1772.32
,EU_BEFORE_FEB2020,ALL,2005,1896.02
,EU_BEFORE_FEB2020,ALL,2006,2063.67
,EU_BEFORE_FEB2020,ALL,2007,2160.27
,EU_BEFORE_FEB2020,ALL,2008,2330.93
,EU_BEFORE_FEB2020,ALL,2009,2472.19
,EU_BEFORE_FEB2020,ALL,2010,2504
,EU_BEFORE_FEB2020,ALL,2011,2569.53
,EU_BEFORE_FEB2020,ALL,2012,2598.27
,EU_BEFORE_FEB2020,ALL,2013,2634.58
,EU_BEFORE_FEB2020,ALL,2014,2718.68
FIN,,ALL,1995,1061
FIN,,ALL,1996,1110.48
FIN,,ALL,1997,1166.39
FIN,,ALL,1998,1202.86
FIN,,ALL,1999,1245.7
FIN,,ALL,2000,1322.58
FIN,,ALL,2001,1420.85
FIN,,ALL,2002,1559.47
FIN,,ALL,2003,1643.39
FIN,,ALL,2004,1800.76
FIN,,ALL,2005,1914.29
FIN,,ALL,2006,2086.26
FIN,,ALL,2007,2185.8
FIN,,ALL,2008,2387.5
FIN,,ALL,2009,2470.87
FIN,,ALL,2010,2470.89
FIN,,ALL,2011,2612.64
FIN,,ALL,2012,2732.15
FIN,,ALL,2013,2757.16
FIN,,ALL,2014,2787.28
FRA,,ALL,1995,1675.25
FRA,,ALL,1996,1720.56
FRA,,ALL,1997,1773.68
FRA,,ALL,1998,1837.98
FRA,,ALL,1999,1909.75
FRA,,ALL,2000,2028.09
FRA,,ALL,2001,2165.54
FRA,,ALL,2002,2335.07
FRA,,ALL,2003,2297.21
FRA,,ALL,2004,2398.6
FRA,,ALL,2005,2527.24
FRA,,ALL,2006,2655.26
FRA,,ALL,2007,2779.41
FRA,,ALL,2008,2887.36
FRA,,ALL,2009,3061.43
FRA,,ALL,2010,3130.68
FRA,,ALL,2011,3277.22
FRA,,ALL,2012,3306.54
FRA,,ALL,2013,3368.35
FRA,,ALL,2014,3525.6
GBR,,ALL,1995,1131.92
GBR,,ALL,1996,1190.73
GBR,,ALL,1997,1191.97
GBR,,ALL,1998,1248.46
GBR,,ALL,1999,1350.83
GBR,,ALL,2000,1459.11
GBR,,ALL,2001,1609.77
GBR,,ALL,2002,1756.88
GBR,,ALL,2003,1873
GBR,,ALL,2004,2079.86
GBR,,ALL,2005,2220.38
GBR,,ALL,2006,2426.32
GBR,,ALL,2007,2461.61
GBR,,ALL,2008,2634.28
GBR,,ALL,2009,2843.2
GBR,,ALL,2010,2730.63
GBR,,ALL,2011,2706.69
GBR,,ALL,2012,2755.09
GBR,,ALL,2013,2811.03
GBR,,ALL,2014,2807.62
GEO,,ALL,1995,6.35
GEO,,ALL,1996,15.73
GEO,,ALL,1997,30.6
GEO,,ALL,1998,25.89
GEO,,ALL,1999,26.11
GEO,,ALL,2000,28.49
GEO,,ALL,2001,36.35
GEO,,ALL,2002,39.75
GEO,,ALL,2003,40.9
GEO,,ALL,2004,46.78
GEO,,ALL,2005,67.47
GEO,,ALL,2006,82.6
GEO,,ALL,2007,78.72
GEO,,ALL,2008,101.82
GEO,,ALL,2009,127.22
GEO,,ALL,2010,139.58
GEO,,ALL,2011,114.87
GEO,,ALL,2012,89.6
GEO,,ALL,2013,100.42
GEO,,ALL,2014,131.42
GRC,,ALL,1995,659.12
GRC,,ALL,1996,690.17
GRC,,ALL,1997,716.99
GRC,,ALL,1998,720.64
GRC,,ALL,1999,785.55
GRC,,ALL,2000,872.23
GRC,,ALL,2001,1068.22
